seed_name,seed_variety,seed_type,seed_quality,crop,season,soil_type,field_composition,soil_ph,temperature,humidity,rainfall,moisture,field_quality,field_history,state,district,recommended_crop,recommended_seed,area,production,yield
Maize seed,HQPM1,HYV,Fresh,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.4,28,69,587,44,High,Fallow,Haryana,Hisar,Maize,Ganga5,162,413,1953
Maize seed,Ganga5,Hybrid,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.1,22,61,515,71,Low,Rice,Gujarat,Ahmedabad,Maize,HQPM1,193,679,2573
Wheat seed,HD2967,Hybrid,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.6,19,54,545,68,Low,Soybean,Chhattisgarh,Durg,Wheat,Lok1,445,1823,2035
Mustard seed,Varuna,Hybrid,Fresh,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.7,25,43,402,60,Medium,Bajra,Chhattisgarh,Raipur,Mustard,Pusa Bold,242,864,4030
Soybean seed,JS9560,Desi,Old,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.5,25,70,625,67,Medium,Fallow,Uttar Pradesh,Lucknow,Soybean,JS335,487,1242,2867
Gram seed,JG16,Hybrid,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.6,20,39,407,73,Low,Rice,West Bengal,Murshidabad,Gram,Pusa372,254,1648,2119
Bajra seed,ICTP8203,HYV,Fresh,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.4,29,47,566,41,Medium,Gram,Maharashtra,Pune,Bajra,RHB121,130,1107,1845
Mustard seed,Varuna,Desi,Old,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,7.4,20,37,371,31,Low,Bajra,West Bengal,Bardhaman,Mustard,Varuna,118,961,4076
Bajra seed,RHB121,HYV,Old,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.2,33,42,356,57,Low,Gram,Maharashtra,Akola,Bajra,ICTP8203,279,160,1966
Wheat seed,Lok1,HYV,Fresh,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.3,20,50,421,59,High,Maize,Karnataka,Mysuru,Wheat,PBW343,237,318,2126
Wheat seed,HD2967,Hybrid,Fresh,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.3,25,59,400,55,Low,Soybean,Odisha,Balasore,Wheat,HD3086,99,969,1507
Mustard seed,Pusa Bold,HYV,Fresh,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.4,22,40,495,70,Medium,Bajra,Chhattisgarh,Raipur,Mustard,Pusa Bold,269,1783,4372
Cotton seed,Bollgard,Desi,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.3,27,49,623,54,Medium,Fallow,Odisha,Cuttack,Cotton,RCH2,253,1048,2402
Rice seed,Swarna,HYV,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",5.6,29,86,1129,85,Medium,Wheat,Andhra Pradesh,Anantapur,Rice,Swarna,100,1257,4590
Cotton seed,Bunny Bt,Desi,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.3,30,65,617,74,Low,Groundnut,Chhattisgarh,Bilaspur,Cotton,Bollgard,360,711,4704
Maize seed,DHM117,Hybrid,Fresh,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.5,23,54,642,50,High,Fallow,West Bengal,Kolkata,Maize,HQPM1,366,1981,2894
Wheat seed,HD2967,HYV,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.8,22,47,492,34,High,Rice,Karnataka,Belagavi,Wheat,PBW343,390,652,3595
Rice seed,IR64,HYV,Fresh,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.1,26,79,1344,39,Medium,Fallow,Haryana,Sirsa,Rice,BPT5204,274,556,3813
Mustard seed,Varuna,Desi,Old,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,7.0,12,55,470,58,Medium,Fallow,Punjab,Amritsar,Mustard,RH30,330,991,2794
Bajra seed,ICTP8203,Hybrid,Old,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.7,25,40,306,60,Medium,Mustard,Tamil Nadu,Thanjavur,Bajra,HHB67,135,400,3532
Gram seed,JG11,Desi,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.6,22,47,446,51,Low,Soybean,Rajasthan,Bikaner,Gram,JG16,304,1746,2460
Bajra seed,HHB67,Hybrid,Fresh,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.5,34,47,578,44,Medium,Gram,Gujarat,Ahmedabad,Bajra,HHB67,107,103,4140
Bajra seed,RHB121,HYV,Old,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.9,31,54,429,36,Medium,Mustard,Bihar,Muzaffarpur,Bajra,ICTP8203,233,1721,4859
Gram seed,JG11,Desi,Old,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.5,21,39,459,55,High,Fallow,Gujarat,Ahmedabad,Gram,JG16,342,1527,4241
Rice seed,BPT5204,Desi,Fresh,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.3,25,86,1012,49,High,Pulses,Karnataka,Raichur,Rice,BPT5204,179,1421,2735
Maize seed,Ganga5,Hybrid,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",5.9,22,63,737,70,Low,Fallow,Odisha,Cuttack,Maize,HQPM1,58,657,4618
Rice seed,MTU7029,Hybrid,Fresh,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.1,29,89,1351,54,High,Wheat,Rajasthan,Bikaner,Rice,MTU7029,430,1688,2298
Gram seed,JG16,Desi,Old,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.2,21,53,308,71,High,Soybean,Rajasthan,Ajmer,Gram,JG11,125,205,4307
Rice seed,MTU7029,HYV,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.7,28,75,1314,27,Medium,Fallow,Rajasthan,Ajmer,Rice,IR64,142,1258,4014
Maize seed,HQPM1,HYV,Fresh,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.6,22,61,683,68,Low,Rice,Rajasthan,Jaipur,Maize,PMH1,405,101,2940
Mustard seed,Varuna,Hybrid,Fresh,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.1,14,59,470,60,Medium,Bajra,Uttar Pradesh,Kanpur,Mustard,Varuna,348,1617,1944
Maize seed,Ganga5,Desi,Fresh,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.3,21,65,650,37,Low,Rice,Rajasthan,Kota,Maize,HQPM1,274,841,3789
Wheat seed,HD2967,Hybrid,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.9,15,64,617,30,Low,Rice,Bihar,Patna,Wheat,HD2967,455,1132,3880
Mustard seed,Pusa Bold,Hybrid,Old,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,7.3,15,38,360,61,Medium,Fallow,Madhya Pradesh,Ujjain,Mustard,Varuna,242,1173,3112
Rice seed,Swarna,Desi,Fresh,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.5,30,75,1104,61,Medium,Pulses,Rajasthan,Kota,Rice,BPT5204,487,1375,4538
Gram seed,Pusa372,Hybrid,Old,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.0,16,45,408,71,High,Fallow,Punjab,Patiala,Gram,JG16,103,1946,4473
Gram seed,JG11,Desi,Old,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.4,18,48,311,32,Low,Soybean,Punjab,Bathinda,Gram,Pusa372,204,1897,2866
Maize seed,DHM117,Desi,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.3,25,68,503,76,Low,Wheat,Odisha,Sambalpur,Maize,Ganga5,121,969,2629
Gram seed,Pusa372,Desi,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.3,15,53,326,30,Medium,Fallow,Haryana,Karnal,Gram,JG16,83,1466,3186
Bajra seed,ICTP8203,Hybrid,Fresh,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.0,34,47,340,57,Low,Gram,Rajasthan,Kota,Bajra,HHB67,131,1218,3367
Soybean seed,JS335,Desi,Old,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.4,26,64,690,68,High,Wheat,Telangana,Warangal,Soybean,JS9560,500,1849,2789
Soybean seed,JS9560,HYV,Old,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.4,29,57,865,54,Low,Wheat,Bihar,Patna,Soybean,NRC37,85,158,1889
Wheat seed,Lok1,Hybrid,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.8,23,56,587,83,High,Soybean,Odisha,Sambalpur,Wheat,PBW343,86,447,3758
Rice seed,Swarna,Desi,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.7,28,90,1105,75,Medium,Wheat,Telangana,Nizamabad,Rice,Swarna,340,1584,4959
Mustard seed,Varuna,Desi,Old,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,7.1,19,35,403,69,Medium,Fallow,Chhattisgarh,Bilaspur,Mustard,Varuna,67,930,3428
Cotton seed,Bunny Bt,Desi,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.2,30,54,787,53,Medium,Fallow,Tamil Nadu,Coimbatore,Cotton,Bollgard,345,1386,3510
Wheat seed,HD3086,HYV,Fresh,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.6,20,57,637,71,Low,Soybean,Gujarat,Ahmedabad,Wheat,Lok1,183,700,2365
Gram seed,JG11,Hybrid,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.8,15,45,416,77,High,Rice,Haryana,Hisar,Gram,JG16,269,1095,4947
Mustard seed,RH30,Desi,Fresh,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,7.5,21,36,500,74,Low,Wheat,Chhattisgarh,Bilaspur,Mustard,RH30,137,853,4116
Soybean seed,JS9560,Hybrid,Old,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.7,25,63,507,44,High,Cotton,Rajasthan,Kota,Soybean,NRC37,174,1471,2897
Rice seed,Swarna,Desi,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",5.7,31,80,1110,41,High,Pulses,Karnataka,Dharwad,Rice,Swarna,421,610,4627
Bajra seed,HHB67,Hybrid,Old,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.0,30,58,594,34,Medium,Gram,Punjab,Bathinda,Bajra,HHB67,310,1361,3828
Cotton seed,RCH2,HYV,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.2,31,48,827,78,High,Fallow,Maharashtra,Nashik,Cotton,Bollgard,423,1818,2128
Maize seed,DHM117,Hybrid,Fresh,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.0,27,51,768,55,High,Wheat,Odisha,Sambalpur,Maize,DHM117,152,1669,1705
Wheat seed,Lok1,Hybrid,Fresh,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.3,16,68,409,41,Low,Soybean,Telangana,Hyderabad,Wheat,Lok1,157,1226,4656
Soybean seed,NRC37,Hybrid,Fresh,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.1,29,50,640,62,Low,Fallow,Telangana,Warangal,Soybean,JS335,83,1809,3736
Maize seed,DHM117,HYV,Fresh,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.6,20,61,500,42,Medium,Fallow,Bihar,Bhagalpur,Maize,PMH1,468,1921,4284
Bajra seed,RHB121,Desi,Fresh,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.6,25,56,388,57,Medium,Gram,Gujarat,Junagadh,Bajra,ICTP8203,73,1412,2858
Maize seed,PMH1,HYV,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.3,25,52,601,62,Medium,Wheat,Chhattisgarh,Durg,Maize,HQPM1,113,257,3885
Wheat seed,PBW343,Desi,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.4,17,55,414,50,Low,Soybean,Gujarat,Surat,Wheat,HD3086,155,1183,4108
Rice seed,IR64,Desi,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.7,29,76,1209,28,Medium,Fallow,Telangana,Karimnagar,Rice,BPT5204,436,700,4757
Maize seed,Ganga5,Hybrid,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.6,22,61,503,74,Medium,Wheat,Bihar,Bhagalpur,Maize,HQPM1,480,1043,4507
Soybean seed,NRC37,HYV,Old,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.2,22,57,756,69,Low,Wheat,Chhattisgarh,Bilaspur,Soybean,NRC37,202,643,2036
Gram seed,JG16,HYV,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.2,22,36,326,85,Medium,Soybean,Uttar Pradesh,Kanpur,Gram,JG11,232,1229,1769
Gram seed,JG16,Hybrid,Old,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.1,15,49,485,48,High,Soybean,West Bengal,Murshidabad,Gram,JG16,88,992,4733
Soybean seed,JS335,Hybrid,Fresh,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.2,23,50,719,47,Low,Wheat,Bihar,Muzaffarpur,Soybean,JS335,274,1916,4512
Bajra seed,ICTP8203,Desi,Old,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.0,25,38,549,39,Low,Fallow,Madhya Pradesh,Indore,Bajra,RHB121,270,1186,2978
Mustard seed,Varuna,Desi,Old,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.5,14,59,447,32,High,Bajra,West Bengal,Kolkata,Mustard,RH30,292,1911,2448
Mustard seed,Varuna,HYV,Old,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.6,22,55,375,38,Low,Wheat,Gujarat,Rajkot,Mustard,Pusa Bold,191,1679,2597
Wheat seed,Lok1,Desi,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.8,15,67,647,41,High,Soybean,Gujarat,Surat,Wheat,Lok1,64,569,4206
Gram seed,JG16,HYV,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.0,15,39,333,84,Medium,Rice,West Bengal,Bardhaman,Gram,Pusa372,226,966,3201
Maize seed,Ganga5,Hybrid,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.8,20,73,630,46,Medium,Wheat,Chhattisgarh,Rajnandgaon,Maize,HQPM1,390,338,4045
Wheat seed,HD2967,Desi,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.0,22,55,574,56,High,Rice,Gujarat,Rajkot,Wheat,PBW343,364,449,2434
Rice seed,BPT5204,Hybrid,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.4,24,87,908,66,Low,Pulses,Rajasthan,Bikaner,Rice,Swarna,365,990,3156
Maize seed,Ganga5,HYV,Fresh,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",5.9,29,70,717,68,High,Fallow,Bihar,Gaya,Maize,HQPM1,468,609,3578
Mustard seed,Varuna,HYV,Fresh,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.2,11,55,413,81,Low,Wheat,Uttar Pradesh,Lucknow,Mustard,Varuna,84,973,4512
Soybean seed,NRC37,Desi,Fresh,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.6,25,55,856,69,High,Wheat,Maharashtra,Akola,Soybean,JS9560,369,1537,2443
Bajra seed,HHB67,HYV,Old,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.2,34,51,305,48,Medium,Fallow,Punjab,Ludhiana,Bajra,RHB121,224,199,4919
Soybean seed,JS9560,Desi,Fresh,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.2,21,69,672,48,High,Wheat,Telangana,Nizamabad,Soybean,NRC37,432,573,2198
Gram seed,JG11,Hybrid,Old,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.3,19,37,408,43,Low,Soybean,Gujarat,Ahmedabad,Gram,JG16,372,1762,2039
Mustard seed,Varuna,Desi,Old,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,7.0,14,36,447,40,High,Wheat,Odisha,Sambalpur,Mustard,RH30,125,1057,1606
Maize seed,HQPM1,Desi,Fresh,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.1,24,51,582,40,High,Fallow,Madhya Pradesh,Ujjain,Maize,HQPM1,275,1572,3288
Rice seed,BPT5204,Desi,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.4,27,77,1269,30,Low,Fallow,Rajasthan,Ajmer,Rice,IR64,316,986,2168
Cotton seed,Bollgard,HYV,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.8,31,64,737,50,High,Soybean,Karnataka,Dharwad,Cotton,Bollgard,200,1157,2417
Rice seed,BPT5204,Hybrid,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.0,28,70,1133,25,Low,Fallow,Odisha,Sambalpur,Rice,BPT5204,60,1161,1985
Wheat seed,HD3086,Desi,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.4,24,49,643,45,High,Soybean,Andhra Pradesh,Guntur,Wheat,PBW343,437,1693,4323
Soybean seed,NRC37,Hybrid,Old,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.1,21,61,741,61,High,Wheat,Haryana,Karnal,Soybean,NRC37,410,1712,3482
Mustard seed,RH30,Hybrid,Old,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,7.1,20,36,487,81,High,Bajra,Uttar Pradesh,Varanasi,Mustard,Pusa Bold,77,1003,3748
Bajra seed,RHB121,HYV,Old,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.7,33,48,371,36,Low,Fallow,West Bengal,Murshidabad,Bajra,RHB121,107,181,3264
Mustard seed,Pusa Bold,HYV,Old,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.7,10,55,421,52,High,Bajra,Uttar Pradesh,Kanpur,Mustard,RH30,500,1720,4147
Mustard seed,RH30,Hybrid,Fresh,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.7,16,38,347,38,High,Bajra,West Bengal,Malda,Mustard,RH30,235,369,3720
Wheat seed,HD3086,HYV,Fresh,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.4,22,69,564,76,Low,Maize,Odisha,Balasore,Wheat,PBW343,108,736,3841
Rice seed,Swarna,Desi,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.4,24,90,1275,48,High,Wheat,Punjab,Patiala,Rice,MTU7029,274,856,2878
Mustard seed,Varuna,HYV,Old,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.9,11,59,437,50,Low,Bajra,Andhra Pradesh,Guntur,Mustard,Varuna,413,1487,3929
Cotton seed,RCH2,Desi,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.4,25,45,862,26,High,Soybean,Rajasthan,Jaipur,Cotton,Bt Cotton,188,768,3264
Wheat seed,Lok1,Desi,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.2,22,66,516,37,Low,Soybean,Rajasthan,Bikaner,Wheat,Lok1,494,1393,4025
Bajra seed,RHB121,HYV,Old,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.8,27,55,506,32,Low,Mustard,Maharashtra,Nashik,Bajra,HHB67,216,435,1943
Gram seed,Pusa372,Hybrid,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.1,17,43,392,30,Low,Rice,Haryana,Rohtak,Gram,JG11,343,136,4943
Wheat seed,Lok1,HYV,Fresh,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.2,17,53,401,58,High,Soybean,Punjab,Bathinda,Wheat,PBW343,441,523,3778
Gram seed,JG11,Hybrid,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.0,22,52,434,29,High,Fallow,Chhattisgarh,Raipur,Gram,Pusa372,368,1165,4617
Gram seed,JG16,HYV,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.6,24,42,397,79,High,Rice,Tamil Nadu,Madurai,Gram,JG11,254,444,3031
Wheat seed,HD2967,HYV,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.3,25,69,594,30,Medium,Rice,Madhya Pradesh,Jabalpur,Wheat,Lok1,479,358,1677
Rice seed,Swarna,Hybrid,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.7,29,78,1131,27,Low,Pulses,Maharashtra,Akola,Rice,IR64,486,260,3267
Cotton seed,Bunny Bt,Hybrid,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.7,23,66,840,45,Low,Fallow,Punjab,Ludhiana,Cotton,Bollgard,139,444,1946
Gram seed,JG11,HYV,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.2,21,46,334,69,Low,Fallow,Gujarat,Surat,Gram,Pusa372,453,144,4598
Mustard seed,Varuna,Hybrid,Old,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,7.3,16,45,335,80,Low,Bajra,Madhya Pradesh,Bhopal,Mustard,Varuna,62,318,1562
Maize seed,Ganga5,Hybrid,Fresh,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.1,21,52,613,68,Medium,Rice,Gujarat,Junagadh,Maize,HQPM1,500,1340,2158
Soybean seed,NRC37,HYV,Old,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.4,28,65,713,50,Low,Wheat,Odisha,Balasore,Soybean,JS335,362,1368,3311
Soybean seed,NRC37,HYV,Fresh,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.0,23,60,601,72,Low,Fallow,Madhya Pradesh,Jabalpur,Soybean,JS335,380,490,1556
Bajra seed,RHB121,Desi,Fresh,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.2,32,53,563,62,Low,Mustard,West Bengal,Bardhaman,Bajra,ICTP8203,154,1643,2390
Gram seed,Pusa372,Desi,Fresh,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.6,21,57,347,58,Medium,Fallow,Odisha,Cuttack,Gram,Pusa372,87,936,4914
Rice seed,MTU7029,HYV,Fresh,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",5.9,31,71,1370,56,Medium,Fallow,Tamil Nadu,Thanjavur,Rice,Swarna,89,1540,2292
Cotton seed,Bt Cotton,HYV,Old,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.6,26,47,705,72,Low,Fallow,Maharashtra,Nagpur,Cotton,Bollgard,279,1637,4600
Cotton seed,Bt Cotton,HYV,Fresh,Cotton,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",7.1,29,68,827,31,Low,Soybean,Rajasthan,Kota,Cotton,Bunny Bt,295,1710,3551
Gram seed,JG16,Hybrid,Old,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.0,20,54,355,54,Low,Rice,Odisha,Balasore,Gram,Pusa372,289,1173,4775
Bajra seed,ICTP8203,Desi,Old,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.3,34,49,383,80,High,Gram,Tamil Nadu,Madurai,Bajra,RHB121,455,1523,3420
Bajra seed,ICTP8203,HYV,Fresh,Bajra,Kharif,Sandy,"Light sandy soil, fast drainage, low water retention",6.8,29,57,317,52,Low,Gram,Karnataka,Mysuru,Bajra,RHB121,94,1463,1854
Mustard seed,Varuna,Hybrid,Fresh,Mustard,Rabi,Alluvial,River-deposited fertile alluvium with good organic matter,6.1,15,60,444,63,Medium,Bajra,Rajasthan,Ajmer,Mustard,Varuna,383,505,4215
Wheat seed,PBW343,HYV,Fresh,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.4,21,46,530,42,Medium,Maize,Uttar Pradesh,Meerut,Wheat,HD2967,247,1174,2674
Rice seed,Swarna,Desi,Fresh,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.7,26,74,1275,84,Medium,Pulses,Uttar Pradesh,Varanasi,Rice,BPT5204,486,1830,1950
Maize seed,DHM117,Hybrid,Old,Maize,Kharif,Sandy Loam,"Loose sandy-loam texture, porous and well-aerated",6.3,22,55,688,71,High,Fallow,Uttar Pradesh,Lucknow,Maize,Ganga5,292,919,2717
Rice seed,BPT5204,Hybrid,Fresh,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.1,30,80,1051,59,Medium,Fallow,Karnataka,Mysuru,Rice,MTU7029,201,1352,3227
Rice seed,Swarna,Desi,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",5.8,32,72,1257,61,Low,Fallow,Madhya Pradesh,Indore,Rice,BPT5204,265,1862,3827
Soybean seed,JS9560,HYV,Fresh,Soybean,Kharif,Black,"Deep black cotton soil, high clay content, strong moisture retention",6.1,26,63,831,53,Medium,Wheat,Telangana,Warangal,Soybean,JS335,414,1396,1655
Gram seed,JG16,HYV,Old,Gram,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",7.1,24,39,491,37,Medium,Soybean,Bihar,Patna,Gram,JG16,494,1448,3716
Rice seed,BPT5204,HYV,Fresh,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.6,32,81,1385,68,Low,Fallow,Odisha,Balasore,Rice,IR64,451,1211,2518
Wheat seed,Lok1,HYV,Old,Wheat,Rabi,Loamy,"Balanced sand-silt-clay mix, fertile and well-drained",6.9,21,46,588,54,Medium,Soybean,Punjab,Ludhiana,Wheat,PBW343,411,987,2524
Rice seed,MTU7029,HYV,Old,Rice,Kharif,Clayey,"Fine clay particles, high water retention, puddled/wetland structure",6.0,26,78,1211,77,High,Pulses,Karnataka,Dharwad,Rice,BPT5204,362,1392,4473
